function,dimension,run_id,seed,n_particles,best_fitness,converged,iterations,convergence_iteration,evaluations,runtime
Ackley,2,10,10304,30,8.326500694710859e-06,True,92,92.0,2790,0.12512516975402832
Ackley,2,11,11304,30,7.813478401619278e-06,True,81,81.0,2460,0.11194896697998047
Ackley,2,12,12304,30,7.127695884623364e-06,True,98,98.0,2970,0.13083934783935547
Ackley,2,13,13304,30,5.635360065259221e-06,True,97,97.0,2940,0.12781047821044922
Ackley,2,14,14304,30,2.3392078785100523e-06,True,106,106.0,3210,0.12155795097351074
Ackley,2,15,15304,30,2.5790991000640417e-06,True,92,92.0,2790,0.10143399238586426
Ackley,2,16,16304,30,3.671088933732136e-06,True,102,102.0,3090,0.12891101837158203
Ackley,2,17,17304,30,9.378518769143085e-06,True,94,94.0,2850,0.1097261905670166
Ackley,2,18,18304,30,9.561589326967379e-06,True,97,97.0,2940,0.11568260192871094
Ackley,2,19,19304,30,2.3126189110378448e-06,True,89,89.0,2700,0.10360312461853027
Ackley,2,20,20304,30,7.067008571670641e-06,True,89,89.0,2700,0.1595313549041748
Ackley,2,21,21304,30,6.911210150395419e-06,True,97,97.0,2940,0.12804293632507324
Ackley,2,22,22304,30,7.626869568344574e-06,True,105,105.0,3180,0.12659788131713867
Ackley,2,23,23304,30,8.740132976914339e-06,True,98,98.0,2970,0.11281394958496094
Ackley,2,24,24304,30,4.686347669480284e-06,True,87,87.0,2640,0.10400867462158203
Ackley,2,25,25304,30,1.8267622086121094e-06,True,94,94.0,2850,0.1326913833618164
Ackley,2,26,26304,30,4.079731173778356e-06,True,92,92.0,2790,0.09892034530639648
Ackley,2,27,27304,30,7.77949506103326e-06,True,82,82.0,2490,0.09846067428588867
Ackley,2,28,28304,30,8.589233914779726e-06,True,92,92.0,2790,0.09911775588989258
Ackley,2,29,29304,30,2.307160749115411e-06,True,84,84.0,2550,0.11890673637390137
Ackley,10,0,1104,30,8.716175159850792e-06,True,216,216.0,6510,0.3452167510986328
Ackley,10,1,2104,30,9.61949239242088e-06,True,228,228.0,6870,0.2606997489929199
Ackley,10,2,3104,30,9.923433048175667e-06,True,203,203.0,6120,0.29793310165405273
Ackley,10,3,4104,30,9.86809563174873e-06,True,206,206.0,6210,0.2606394290924072
Ackley,10,4,5104,30,5.627936872532047e-06,True,225,225.0,6780,0.2866854667663574
Ackley,10,5,6104,30,9.582768055071966e-06,True,223,223.0,6720,0.27141451835632324
Ackley,10,6,7104,30,9.827242021476223e-06,True,212,212.0,6390,0.2574319839477539
Ackley,10,7,8104,30,7.312467147801982e-06,True,225,225.0,6780,0.29821085929870605
Ackley,10,8,9104,30,8.849172641323122e-06,True,215,215.0,6480,0.3117854595184326
Ackley,10,9,10104,30,9.115560047678883e-06,True,206,206.0,6210,0.25958967208862305
Ackley,10,10,11104,30,8.138733406770626e-06,True,213,213.0,6420,0.30963563919067383
Ackley,10,11,12104,30,7.525729018187377e-06,True,190,190.0,5730,0.24786615371704102
Ackley,10,12,13104,30,9.973499687010445e-06,True,215,215.0,6480,0.2668144702911377
Ackley,10,13,14104,30,7.217399585091044e-06,True,220,220.0,6630,0.2900199890136719
Ackley,10,14,15104,30,9.37967087510927e-06,True,195,195.0,5880,0.3025810718536377
Ackley,10,15,16104,30,9.182539888019647e-06,True,222,222.0,6690,0.30039429664611816
Ackley,10,16,17104,30,9.264098065120407e-06,True,213,213.0,6420,0.28981590270996094
